Locations Axis	Global	
Values axis	Global	
x(mm)	y(mm)	z(mm)	Value(N_m2)	
17.9775	50	50	7.19003e+006	
20	50	50	7.08356e+006	
22.5	50	50	6.95635e+006	
25	50	50	6.83121e+006	
27.9775	50	50	6.68874e+006	
30.1824	50	50	6.59128e+006	
32.6957	50	50	6.50396e+006	
35.1824	50	50	6.44567e+006	
37.9775	50	50	6.4285e+006	
40	50	50	6.44895e+006	
42.6824	50	50	6.649e+006	
45	50	50	6.95308e+006	
47.3176	50	50	7.97446e+006	
3.05101e-006	2.5	-7.63685e-007	1.34733e+007	
3.05101e-006	5	-7.63685e-007	1.08464e+007	
3.05101e-006	7.5	-7.63685e-007	1.17061e+007	
0	9.52254	0	9.85623e+006	
0	12.6824	0	9.33898e+006	
0	15.4775	0	8.48373e+006	
3.05101e-006	17.5	-7.63685e-007	8.99753e+006	
0	19.5225	0	7.5699e+006	
3.05101e-006	22.5	-7.63685e-007	7.24516e+006	
0	25.5902	0	6.46495e+006	
3.05101e-006	27.5	-7.63685e-007	6.72521e+006	
0	29.4098	0	5.42899e+006	
0	32.6824	0	4.85477e+006	
0	35.5902	0	4.12578e+006	
3.05101e-006	37.5	-7.63685e-007	4.0177e+006	
0	39.2275	0	3.11603e+006	
3.05101e-006	42.5	-7.63685e-007	2.35688e+006	
0	45.4775	0	1.65314e+006	
3.05101e-006	47.5	-7.63685e-007	1.20956e+006	
0	2.31762	50	1.10353e+006	
0	5.47746	50	932186	
0	7.26127	50	1.29141e+006	
3.05101e-006	10	50	1.90387e+006	
0	12.2049	50	2.36952e+006	
3.05101e-006	15	50	3.00983e+006	
0	17.6957	50	4.0458e+006	
0	20.1824	50	4.39694e+006	
0	22.3309	50	4.70265e+006	
0	24.685	50	5.18501e+006	
0	27.6957	50	6.63876e+006	
0	30.1824	50	6.83202e+006	
3.05101e-006	32.5	50	6.85992e+006	
3.05101e-006	35	50	7.26221e+006	
0	37.6957	50	8.75284e+006	
0	40.1824	50	8.73643e+006	
0	42.3309	50	8.88307e+006	
0	45.4775	50	9.64368e+006	
0	47.6824	50	1.14306e+007	
1.90442	0	2.50314	1.12807e+007	
4.91837	0	5.06548	8.44339e+006	
2.43732	0	5.05772	8.7074e+006	
5.06839	0	2.18341	9.13793e+006	
7.76393	0	2.05213	8.40813e+006	
10.0893	0	5.0744	7.71906e+006	
7.53882	0	4.43743	8.13555e+006	
10.0487	0	2.73607	7.99627e+006	
12.5	-7.15256e-007	2.5	7.77077e+006	
15.0538	0	4.71685	7.30036e+006	
12.4151	0	4.92294	7.49505e+006	
15.1041	0	2.36107	7.55458e+006	
17.6459	0	2.50597	7.33782e+006	
19.878	0	4.90345	6.88426e+006	
17.0293	0	5.43917	7.05061e+006	
